"date" "mrh"
"1997-8" 16.9404792785645
"1997-9" 16.1697635650635
"1997-10" 16.4628963470459
"1997-11" 15.2269191741943
"1997-12" 13.2000551223755
"1998-1" 14.2622003555298
"1998-2" 14.0319442749023
"1998-3" 16.0189971923828
"1998-4" 15.3315362930298
"1998-5" 16.8790264129639
"1998-6" 16.9223098754883
"1998-7" 17.7572116851807
"1998-8" 17.5754642486572
"1998-9" 16.7674560546875
"1998-10" 17.0718803405762
"1998-11" 15.583535194397
"1998-12" 12.5313415527344
"1999-1" 14.4149227142334
"1999-2" 12.3586301803589
"1999-3" 15.6718168258667
"1999-4" 16.733003616333
"1999-5" 17.8079357147217
"1999-6" 17.5778675079346
"1999-7" 18.2592144012451
"1999-8" 18.0358581542969
"1999-9" 17.1972274780273
"1999-10" 17.5119762420654
