"date" "mnpp"
"1997-8" 50.9800109863281
"1997-9" 47.7658348083496
"1997-10" 40.3852882385254
"1997-11" 37.9448356628418
"1997-12" -19.5554180145264
"1998-1" -30.4274806976318
"1998-2" -25.5034313201904
"1998-3" -18.9019317626953
"1998-4" -14.7169904708862
"1998-5" 12.8749332427979
"1998-6" 41.8510589599609
"1998-7" 44.0635681152344
"1998-8" 47.3818244934082
"1998-9" 53.3017959594727
"1998-10" 48.7709655761719
"1998-11" 43.1864814758301
"1998-12" -30.383602142334
"1999-1" -35.9973831176758
"1999-2" -17.2985782623291
"1999-3" -20.797664642334
"1999-4" -28.5424766540527
"1999-5" 21.5377311706543
"1999-6" 35.9176940917969
"1999-7" 44.317325592041
"1999-8" 51.9338035583496
"1999-9" 51.8137664794922
"1999-10" 45.3275260925293
